thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,5.931032499999674,Eliana,
,,Mark,left eye,12.242714199999682,Eliana,
,,Mark,right eye,14.866619699999319,Eliana,
,,Mark,mouth,16.55468269999983,Eliana,
,,Mark,left ear,19.834422699999777,Eliana,
,,Mark,right ear,21.514204699999937,Eliana,
,,Mark,chin,23.13006089999999,Eliana,
,,Mark,top of head,25.49801899999966,Eliana,
,,Helly,nose,2.3862285000004704,Eliana,
,,Helly,left eye,3.84215789999962,Eliana,
,,Helly,right eye,5.5302041000004465,Eliana,
,,Helly,mouth,6.585991699999795,Eliana,
,,Helly,left ear,8.137930300000335,Eliana,
,,Helly,right ear,9.193878699999914,Eliana,
,,Helly,chin,10.241769199999908,Eliana,
,,Helly,top of head,12.353672999999617,Eliana,
