event,label,time
experiment_start,,18.580218199640512
welcome_start,welcome,18.580345599912107
welcome_audio_end,welcome,28.30628510005772
welcome_end,welcome,31.934392899740487
faces_shown_start,faces_shown,31.93454309972003
faces_shown_audio_end,faces_shown,38.985224599950016
faces_shown_end,faces_shown,51.24554659985006
break_start,break,51.24569649994373
break_audio_end,break,59.671937599778175
break_end,break,228.04429670004174
mark_start,,235.7302786996588
mark_nose_start,nose,235.73084749979898
mark_nose_audio_end,nose,238.7504797000438
mark_nose_end,nose,243.44140429981053
mark_face_start,face,243.44161559967324
mark_face_audio_end,face,247.84495669975877
mark_face_end,face,252.04107889998704
mark_mouth_start,mouth,252.04119140002877
mark_mouth_audio_end,mouth,255.79189449967816
mark_mouth_end,mouth,258.1743511999957
mark_lefteye_start,lefteye,258.1744307996705
mark_lefteye_audio_end,lefteye,261.3049391997047
mark_lefteye_end,lefteye,263.50741329975426
mark_righteye_start,righteye,263.50750019960105
mark_righteye_audio_end,righteye,267.0106390998699
mark_righteye_end,righteye,269.04076229967177
mark_end,,269.04085119999945
helly_start,,276.1794056999497
helly_nose_start,nose,276.1795250000432
helly_nose_audio_end,nose,279.2004186999984
helly_nose_end,nose,282.19025929970667
helly_face_start,face,282.1903871996328
sound_skipped,face,282.5363443000242
helly_face_audio_end,face,282.53641239972785
helly_face_end,face,285.9405495999381
helly_mouth_start,mouth,285.94062040001154
helly_mouth_audio_end,mouth,289.70183679973707
helly_mouth_end,mouth,292.140048999805
helly_lefteye_start,lefteye,292.14013709966093
helly_lefteye_audio_end,lefteye,295.26491599995643
helly_lefteye_end,lefteye,297.4733968996443
helly_righteye_start,righteye,297.473487299867
helly_righteye_audio_end,righteye,300.9706043000333
helly_righteye_end,righteye,302.7067863000557
helly_end,,302.7068731999025
thank_you_start,thank_you,302.76350490003824
sound_skipped,thank_you,308.02631399966776
thank_you_audio_end,thank_you,308.02638759976253
thank_you_end,thank_you,311.64782559964806
experiment_end,,311.65025899978355
