thisRow.t,notes,phase,landmark,drawn_pixels,participant,
,,mark,nose,"[[379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [379.0, 157.0], [378.0, 155.0], [377.0, 150.0], [376.0, 144.0], [374.0, 133.0], [373.0, 126.0], [373.0, 120.0], [373.0, 114.0], [374.0, 108.0], [375.0, 101.0], [378.0, 98.0], [383.0, 94.0], [389.0, 92.0], [396.0, 92.0], [403.0, 90.0], [405.0, 90.0], [405.0, 90.0], [405.0, 90.0]]",arisa,
,,mark,face,"[[366.0, 215.0], [365.0, 216.0], [356.0, 209.0], [339.0, 193.0], [331.0, 175.0], [327.0, 149.0], [327.0, 130.0], [327.0, 106.0], [327.0, 88.0], [326.0, 71.0], [326.0, 60.0], [330.0, 47.0], [339.0, 33.0], [353.0, 19.0], [381.0, 6.0], [405.0, 4.0], [432.0, 11.0], [450.0, 37.0], [460.0, 72.0], [469.0, 106.0], [472.0, 136.0], [472.0, 161.0], [472.0, 190.0], [471.0, 214.0], [466.0, 227.0], [456.0, 240.0], [440.0, 245.0], [410.0, 246.0], [394.0, 246.0], [384.0, 242.0], [373.0, 235.0], [361.0, 224.0], [354.0, 216.0], [354.0, 211.0], [354.0, 211.0]]",arisa,
,,mark,mouth,"[[367.0, 73.0], [367.0, 73.0], [379.0, 72.0], [403.0, 65.0], [419.0, 65.0], [423.0, 65.0], [423.0, 65.0], [423.0, 65.0]]",arisa,
,,mark,lefteye,"[[359.0, 192.0], [359.0, 192.0], [357.0, 184.0], [365.0, 177.0], [376.0, 177.0], [377.0, 184.0], [374.0, 187.0], [365.0, 191.0], [362.0, 192.0], [362.0, 192.0], [362.0, 192.0]]",arisa,
,,mark,righteye,"[[422.0, 188.0], [419.0, 191.0], [407.0, 191.0], [407.0, 179.0], [428.0, 177.0], [437.0, 180.0], [431.0, 188.0], [424.0, 191.0], [424.0, 191.0]]",arisa,
,,helly,nose,"[[-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-313.0, 45.0], [-314.0, 44.0], [-314.0, 43.0], [-315.0, 40.0], [-315.0, 40.0], [-316.0, 39.0], [-317.0, 35.0], [-318.0, 30.0], [-319.0, 28.0], [-319.0, 25.0], [-319.0, 21.0], [-319.0, 19.0], [-318.0, 15.0], [-315.0, 12.0], [-310.0, 9.0], [-304.0, 8.0], [-297.0, 8.0], [-294.0, 8.0], [-291.0, 8.0], [-289.0, 9.0], [-289.0, 9.0], [-289.0, 9.0]]",arisa,
,,helly,face,[],arisa,
,,helly,mouth,"[[-332.0, -23.0], [-332.0, -23.0], [-329.0, -22.0], [-314.0, -26.0], [-296.0, -32.0], [-295.0, -32.0], [-292.0, -32.0], [-289.0, -32.0], [-285.0, -29.0], [-282.0, -28.0], [-279.0, -26.0], [-279.0, -26.0], [-278.0, -24.0], [-278.0, -21.0], [-278.0, -21.0], [-278.0, -21.0]]",arisa,
,,helly,lefteye,"[[-356.0, 96.0], [-358.0, 89.0], [-358.0, 78.0], [-347.0, 70.0], [-335.0, 70.0], [-329.0, 76.0], [-329.0, 76.0], [-333.0, 85.0], [-336.0, 89.0], [-347.0, 94.0], [-349.0, 96.0], [-355.0, 100.0], [-355.0, 100.0], [-355.0, 100.0]]",arisa,
,,helly,righteye,"[[-275.0, 106.0], [-278.0, 106.0], [-295.0, 100.0], [-302.0, 89.0], [-301.0, 74.0], [-289.0, 73.0], [-277.0, 77.0], [-270.0, 87.0], [-270.0, 93.0], [-273.0, 100.0], [-275.0, 105.0], [-276.0, 106.0]]",arisa,
