participant,identity,nose_x_px,nose_y_px,ellipse_w_px,ellipse_h_px,lefteye_x_px,lefteye_y_px,righteye_x_px,righteye_y_px,mouth_x_px,mouth_y_px,ellipse_w_cm,ellipse_h_cm,nose_x_cm,nose_y_cm,lefteye_x_cm,lefteye_y_cm,righteye_x_cm,righteye_y_cm,mouth_x_cm,mouth_y_cm,ellipse_w_deg,ellipse_h_deg,resolution_x,resolution_y,viewing_dist_cm,screen_width_cm,screen_height_cm
Boran,Mark,443.0,176.0,66.0,84.0,456.0,195.0,429.0,193.0,442.0,155.0,1.826386538044493,2.324491957511173,12.258927823541068,4.870364101451981,12.618670626489225,5.396142044222366,11.871512497289205,5.340796997614957,12.231255300237363,4.289241112074189,2.0926521473426427,2.663191978433442,1920,1080,50.0,53.131244743112525,29.886325168000795
Boran,Helly,-358.0,83.0,142.0,160.0,-330.0,120.0,-387.0,117.0,-360.0,45.0,3.9294983091260307,4.427603728592711,-9.90676334272619,2.296819434207469,-9.131932690222465,3.320702796444533,-10.709266518533619,3.2376852265334195,-9.962108389333599,1.2452635486666999,4.500557896681624,5.070348621521926,1920,1080,50.0,53.131244743112525,29.886325168000795
David,Mark,7.0,94.0,248.0,298.0,-42.0,131.0,50.0,134.0,5.0,18.0,6.862785779318702,8.246411944503924,0.19370766312593107,2.6012171905482173,-1.1622459787555866,3.6251005527852818,1.383626165185222,3.708118122696395,0.13836261651852222,0.49810541946667997,7.85186180615345,9.428358643393736,1920,1080,50.0,53.131244743112525,29.886325168000795
David,Helly,6.0,78.0,226.0,278.0,-45.0,134.0,53.0,135.0,4.0,7.0,6.253990266637204,7.692961478429835,0.16603513982222665,2.1584568176889465,-1.2452635486666999,3.708118122696395,1.4666437350963353,3.7357906460000994,0.11069009321481776,0.19370766312593107,7.157223455563483,8.79815548636576,1920,1080,50.0,53.131244743112525,29.886325168000795
Ethan,Mark,270.0,173.0,132.0,178.0,241.0,203.0,297.0,202.0,270.0,138.0,3.652773076088986,4.925709148059391,7.471581292000199,4.7873465315408685,6.66907811619277,5.617522230652002,8.218739421200219,5.589849707348297,7.471581292000199,3.8188082159112127,4.183909448458495,5.639888572595389,1920,1080,50.0,53.131244743112525,29.886325168000795
Ethan,Helly,-483.0,77.0,158.0,186.0,-449.0,108.0,-519.0,111.0,-484.0,35.0,4.3722586819853015,5.147089334489026,-13.365828755689245,2.1307842943852418,-12.424962963363294,2.9886325168000796,-14.362039594622605,3.071650086711193,-13.39350127899295,0.9685383156296554,5.007050412873917,5.892929630628456,1920,1080,50.0,53.131244743112525,29.886325168000795
Kenta,Mark,-28.0,150.0,158.0,220.0,-65.0,179.0,4.0,184.0,-29.0,101.0,4.3722586819853015,6.087955126814977,-0.7748306525037243,4.150878495555666,-1.7987140147407887,4.953381671363095,0.11069009321481776,5.0917442878816175,-0.8025031758074288,2.7949248536741487,5.007050412873917,6.9676830302668264,1920,1080,50.0,53.131244743112525,29.886325168000795
Kenta,Helly,-383.0,103.0,180.0,270.0,-428.0,136.0,-342.0,138.0,-387.0,49.0,4.981054194666799,7.471581292000199,-10.5985764253188,2.8502699002815572,-11.843839973985501,3.763463169303804,-9.464002969866918,3.8188082159112127,-10.709266518533619,1.3559536418815177,5.703154094526263,8.545922687551707,1920,1080,50.0,53.131244743112525,29.886325168000795
Qichen,Mark,-2.0,102.0,170.0,210.0,-42.0,139.0,33.0,144.0,-3.0,52.0,4.704328961629755,5.8112298937779325,-0.05534504660740888,2.822597376977853,-1.1622459787555866,3.8464807392149174,0.9131932690222465,3.9848433557334397,-0.08301756991111332,1.438971211792631,5.386792456375963,6.6516979831517515,1920,1080,50.0,53.131244743112525,29.886325168000795
Qichen,Helly,-2.0,68.0,148.0,214.0,-35.0,113.0,24.0,119.0,-5.0,17.0,4.095533448948257,5.921919986992751,-0.05534504660740888,1.881731584651902,-0.9685383156296554,3.126995133318602,0.6641405592889066,3.2930302731408285,-0.13836261651852222,0.4704328961629755,4.690514273421769,6.7781044246479265,1920,1080,50.0,53.131244743112525,29.886325168000795
